V0 <V0> - L0 -> V11 <V11>
V7 <V7> - L7 -> V14 <V14>
V7 <V7> - L9 -> V8 <V8>
V14 <V14> - L0 -> V54 <V54>
V14 <V14> - L1 -> V58 <V58>
V14 <V14> - L2 -> V18 <V18>
V14 <V14> - L3 -> V49 <V49>
V14 <V14> - L4 -> V19 <V19>
V14 <V14> - L5 -> V26 <V26>
V14 <V14> - L6 -> V8 <V8>
V14 <V14> - L8 -> V12 <V12>
V14 <V14> - L9 -> V75 <V75>
V68 <V68> - L1 -> V12 <V12>
V68 <V68> - L7 -> V61 <V61>
V55 <V55> - L4 -> V10 <V10>
V55 <V55> - L9 -> V58 <V58>
V21 <V21> - L1 -> V12 <V12>
V21 <V21> - L3 -> V7 <V7>
V21 <V21> - L8 -> V12 <V12>
V75 <V75> - L0 -> V13 <V13>
V75 <V75> - L1 -> V12 <V12>
V75 <V75> - L6 -> V18 <V18>
V75 <V75> - L7 -> V8 <V8>
V43 <V43> - L1 -> V56 <V56>
V43 <V43> - L8 -> V76 <V76>
V26 <V26> - L0 -> V28 <V28>
V26 <V26> - L1 -> V29 <V29>
V26 <V26> - L3 -> V58 <V58>
V26 <V26> - L4 -> V12 <V12>
V26 <V26> - L6 -> V7 <V7>
V26 <V26> - L7 -> V8 <V8>
V22 <V22> - L1 -> V5 <V5>
V22 <V22> - L4 -> V29 <V29>
V22 <V22> - L5 -> V51 <V51>
V22 <V22> - L7 -> V12 <V12>
V22 <V22> - L9 -> V0 <V0>
V31 <V31> - L2 -> V70 <V70>
V31 <V31> - L3 -> V56 <V56>
V31 <V31> - L7 -> V43 <V43>
V61 <V61> - L9 -> V62 <V62>
V56 <V56> - L2 -> V26 <V26>
V56 <V56> - L4 -> V12 <V12>
V44 <V44> - L3 -> V51 <V51>
V44 <V44> - L7 -> V55 <V55>
V62 <V62> - L1 -> V17 <V17>
V49 <V49> - L0 -> V8 <V8>
V49 <V49> - L3 -> V9 <V9>
V20 <V20> - L1 -> V28 <V28>
V20 <V20> - L2 -> V12 <V12>
V20 <V20> - L4 -> V12 <V12>
V8 <V8> - L0 -> V4 <V4>
V8 <V8> - L1 -> V19 <V19>
V8 <V8> - L3 -> V58 <V58>
V8 <V8> - L4 -> V18 <V18>
V8 <V8> - L5 -> V44 <V44>
V8 <V8> - L7 -> V12 <V12>
V8 <V8> - L8 -> V23 <V23>
V54 <V54> - L1 -> V61 <V61>
V54 <V54> - L2 -> V7 <V7>
V58 <V58> - L6 -> V14 <V14>
V58 <V58> - L7 -> V31 <V31>
V58 <V58> - L8 -> V12 <V12>
V28 <V28> - L3 -> V15 <V15>
V28 <V28> - L5 -> V34 <V34>
V28 <V28> - L6 -> V33 <V33>
V28 <V28> - L7 -> V12 <V12>
V28 <V28> - L8 -> V25 <V25>
V29 <V29> - L5 -> V32 <V32>
V29 <V29> - L8 -> V44 <V44>
V70 <V70> - L0 -> V9 <V9>
V70 <V70> - L6 -> V17 <V17>
V23 <V23> - L2 -> V51 <V51>
V23 <V23> - L6 -> V35 <V35>
V34 <V34> - L2 -> V62 <V62>
V34 <V34> - L9 -> V15 <V15>
V33 <V33> - L0 -> V76 <V76>
V33 <V33> - L3 -> V69 <V69>
V33 <V33> - L4 -> V34 <V34>
V33 <V33> - L7 -> V15 <V15>
V32 <V32> - L6 -> V12 <V12>
V32 <V32> - L8 -> V5 <V5>
V35 <V35> - L4 -> V12 <V12>
V35 <V35> - L5 -> V70 <V70>
V35 <V35> - L7 -> V12 <V12>
V69 <V69> - L1 -> V26 <V26>
V69 <V69> - L3 -> V10 <V10>
V69 <V69> - L6 -> V28 <V28>
{
"pos":[[["L2"],["L2"],["L6"],["L8"],["L0"],["L5"],["L7"],["L1"],["L1"],["L7"],["L1"],["L5"],["L7"],["L1"]],[["L2"],["L7"],["L0"],["L6"],["L8"],["L6"],["L7"],["L7"],["L8"],["L6"]],[["L8"],["L7"],["L7"],["L8"],["L0"],["L7"],["L8"],["L6"],["L4"],["L7"],["L8"],["L0"]],[["L4"],["L6"],["L8"],["L6"],["L5"],["L8"],["L0"],["L0"],["L9"],["L7"],["L9"]],[["L4"],["L5"],["L7"],["L1"]],],
"neg":[[["L3"],["L4"],["L1"],["L2"],["L6"],["L1"],["L7"],["L1"],["L4"],["L7"],["L8"],["L7"],["L5"],["L1"]],[["L3"],["L5"],["L2"],["L7"],["L1"],["L1"],["L7"],["L8"],["L6"],["L7"],["L0"],["L8"]],[["L8"],["L7"],["L7"],["L8"],["L6"],["L4"],["L7"],["L1"],["L1"],["L4"]],[["L5"],["L7"],["L1"],["L5"],["L7"],["L7"],["L3"],["L1"],["L7"],["L1"],["L8"]],[["L6"],["L0"],["L5"],["L8"]],]
}
