V0 <V0> - L1 -> V1 <V1>
V49 <V49> - L2 -> V15 <V15>
V49 <V49> - L3 -> V17 <V17>
V49 <V49> - L4 -> V7 <V7>
V65 <V65> - L0 -> V15 <V15>
V65 <V65> - L1 -> V30 <V30>
V22 <V22> - L2 -> V21 <V21>
V22 <V22> - L4 -> V30 <V30>
V64 <V64> - L3 -> V14 <V14>
V64 <V64> - L4 -> V20 <V20>
V28 <V28> - L4 -> V29 <V29>
V61 <V61> - L0 -> V20 <V20>
V61 <V61> - L1 -> V7 <V7>
V61 <V61> - L4 -> V28 <V28>
V29 <V29> - L0 -> V26 <V26>
V29 <V29> - L2 -> V61 <V61>
{
"pos":[[["L4"],["L1"],["L3"],["L0"],["L2"],["L4"]],[["L4"],["L1"],["L3"],["L1"],["L2"]],[["L4"],["L1"],["L0"],["L1"],["L4"],["L0"]],[["L4"],["L2"],["L4"],["L3"],["L1"],["L3"]],[["L4"],["L2"],["L3"],["L2"],["L0"]],[["L4"],["L2"],["L0"]],[["L4"],["L2"],["L1"]],[["L4"],["L3"],["L1"],["L1"],["L3"],["L3"]],[["L4"],["L3"],["L1"],["L1"],["L4"]],[["L4"],["L3"],["L4"],["L2"],["L0"],["L2"]],[["L4"],["L0"],["L1"],["L2"],["L1"],["L2"]],[["L4"],["L0"],["L4"]],[["L1"],["L3"],["L0"],["L0"],["L4"],["L1"]],[["L1"],["L3"],["L0"],["L4"],["L2"]],[["L1"],["L3"],["L1"],["L0"],["L4"],["L3"]],[["L1"],["L3"],["L1"],["L0"],["L1"]],[["L1"],["L3"],["L1"],["L3"],["L0"],["L2"]],[["L1"],["L3"],["L4"]],[["L1"],["L3"],["L2"]],[["L1"],["L2"],["L3"],["L2"],["L0"],["L0"]],[["L1"],["L2"],["L1"],["L2"],["L1"]],[["L1"],["L2"],["L4"]],[["L1"],["L0"],["L3"],["L2"],["L2"],["L1"]],[["L1"],["L0"],["L0"],["L1"],["L1"]],[["L1"],["L0"],["L0"],["L4"]],[["L1"],["L0"],["L2"],["L1"]],[["L1"],["L4"],["L3"],["L1"],["L3"]],[["L1"],["L4"],["L3"],["L4"]],[["L1"],["L4"],["L0"],["L3"],["L4"]],[["L3"],["L0"],["L3"],["L2"],["L0"],["L3"]],[["L3"],["L0"],["L3"],["L1"]],[["L3"],["L0"],["L2"],["L4"]],[["L3"],["L0"],["L4"],["L2"]],[["L3"],["L1"],["L4"],["L1"],["L4"]],[["L3"],["L1"],["L0"],["L1"],["L2"]],[["L3"],["L4"],["L2"],["L2"],["L2"],["L4"]],[["L3"],["L4"],["L3"]],[["L2"],["L0"],["L1"],["L3"],["L1"],["L2"]],[["L2"],["L0"],["L1"],["L0"],["L0"],["L1"]],[["L2"],["L0"],["L1"],["L0"],["L1"],["L2"]],[["L2"],["L0"],["L1"],["L2"]],[["L2"],["L0"],["L2"],["L0"],["L4"]],[["L2"],["L0"],["L2"],["L4"],["L2"]],[["L2"],["L4"],["L2"],["L3"],["L1"],["L0"]],[["L2"],["L4"],["L2"],["L3"],["L0"],["L1"]],[["L2"],["L4"],["L2"],["L0"]],[["L2"],["L1"],["L3"],["L1"],["L2"],["L0"]],[["L2"],["L1"],["L0"],["L2"],["L1"],["L4"]],[["L2"],["L1"],["L4"],["L2"],["L4"]],[["L2"],["L1"],["L4"],["L1"]],],
"neg":[[["L4"],["L1"],["L3"],["L0"],["L2"],["L3"]],[["L4"],["L1"],["L3"],["L2"]],[["L4"],["L1"],["L0"],["L0"]],[["L4"],["L1"],["L1"]],[["L4"],["L2"],["L3"],["L4"]],[["L4"],["L3"],["L1"],["L1"],["L1"]],[["L4"],["L3"],["L1"],["L3"]],[["L4"],["L3"],["L4"],["L1"],["L4"]],[["L4"],["L0"],["L2"],["L3"],["L1"],["L2"]],[["L4"],["L0"],["L2"],["L3"],["L2"]],[["L4"],["L0"],["L1"],["L1"]],[["L4"],["L4"]],[["L1"],["L2"],["L0"],["L2"],["L2"],["L3"]],[["L1"],["L2"],["L0"],["L3"],["L1"]],[["L1"],["L2"],["L2"]],[["L1"],["L0"],["L3"],["L2"],["L1"],["L3"]],[["L1"],["L0"],["L2"],["L4"]],[["L1"],["L0"],["L4"]],[["L1"],["L4"],["L3"],["L0"],["L1"],["L1"]],[["L1"],["L4"],["L1"]],[["L1"],["L1"]],[["L3"],["L0"],["L3"],["L0"],["L2"],["L3"]],[["L3"],["L0"],["L1"],["L0"],["L4"],["L3"]],[["L3"],["L0"],["L4"],["L4"]],[["L3"],["L0"],["L0"]],[["L3"],["L1"],["L4"],["L2"],["L1"],["L3"]],[["L3"],["L1"],["L4"],["L2"],["L1"],["L1"]],[["L3"],["L1"],["L0"],["L3"],["L4"]],[["L3"],["L4"],["L0"],["L4"],["L1"],["L0"]],[["L3"],["L4"],["L0"],["L4"],["L4"]],[["L3"],["L4"],["L0"],["L0"],["L0"]],[["L3"],["L4"],["L2"],["L2"],["L3"]],[["L3"],["L2"]],[["L2"],["L0"],["L1"],["L3"],["L2"],["L0"]],[["L2"],["L0"],["L1"],["L3"],["L2"],["L4"]],[["L2"],["L0"],["L1"],["L1"]],[["L2"],["L0"],["L2"],["L0"],["L0"]],[["L2"],["L0"],["L2"],["L2"]],[["L2"],["L0"],["L3"]],[["L2"],["L0"],["L4"]],[["L2"],["L4"],["L3"],["L1"],["L4"],["L4"]],[["L2"],["L4"],["L3"],["L1"],["L4"],["L1"]],[["L2"],["L4"],["L3"],["L1"],["L3"],["L4"]],[["L2"],["L4"],["L0"]],[["L2"],["L1"],["L3"],["L1"],["L1"]],[["L2"],["L1"],["L0"],["L2"],["L0"],["L4"]],[["L2"],["L1"],["L2"],["L1"],["L3"],["L1"]],[["L2"],["L1"],["L1"]],[["L2"],["L2"]],[["L0"]],]
}
